Action items log,,,,,,,,,
#,Raised,Project ,Action,Owner,Reference ,Target Date,Status,Remark,
33,17/03/2023,EnGRC,"To share Process flow diagram (Functional point of view) with QA 
team to prepare regression scenarios for automation",Guru,EnGRC-Status Call-MOM-17 Mar 2023 v1.0,20/03/2023,Closed,,
34,17/03/2023,EnGRC,To provide estimates for the backlog items,Mohan,EnGRC-Status Call-MOM-17 Mar 2023 v1.0,24/03/2023,Open,,
35,17/03/2023,EnGRC,To work on User manual,Akansha,EnGRC-Status Call-MOM-17 Mar 2023 v1.0,,On Going,,
36,17/03/2023,EnGRC,"To check with Aneesh from Pre sales for beautification documents 
and structure. For Manuals upload as HTML into EnGRC",Ruth,EnGRC-Status Call-MOM-17 Mar 2023 v1.0,20/03/2023,Closed,,
37,24/03/2023,EnGRC,Block the meeting room on 28th March at 2PM IST,Ruth,EnGRC-Status Call-MOM-24 Mar 2023 v1.0,24/03/2023,Closed,,
38,24/03/2023,EnGRC,Raise IT ticket for laptops to the new resources. RG 27 Mar2023,Ruth,EnGRC-Status Call-MOM-24 Mar 2023 v1.0,30/03/2023,Closed,,
39,24/03/2023,EnGRC," RG to add backlog items to the new features list so that it can considered for 23-24 budget,",Ruth,EnGRC-Status Call-MOM-24 Mar 2023 v1.0,30/03/2023,Open,Added for few and need Gillian's inputs on few items.,
40,24/03/2023,EnGRC,Sandip Dabre to provide High level plan on to start on the implementation part,Ruth,EnGRC-Status Call-MOM-24 Mar 2023 v1.0,25/03/2023,,,
41,31/03/2023,EnGRC," Revise end date needs to be updated with the proper dates and in status column value as for demo to be added and color
coding has to be changed in development ",Ruth,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,,On Going,,
42,31/03/2023,EnGRC,To check with RG on documentation tracker to mention in detail about the documentation.,Guru,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,,,,
43,31/03/2023,EnGRC," To add a bug - if user has subscribed only for EnRICO module
then he should see the configuration menu to upload Risk control
matrix. And also in Risk and Control form open issue button should
not be displayed. Check all inconsistencies",Tejas,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,31/03/2023,Closed,,
44,31/03/2023,EnGRC," Add point in Backlog item for edit validations for the dates in
Meeting field under Team and Timeline form.",Tejas,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,31/03/2023,Closed,,
45,31/03/2023,EnGRC, To upload the matrix provided by ,Tejas,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,31/03/2023,Closed,,
46,31/03/2023,EnGRC, DS to look into design point of view,Deven,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,,On Going,,
47,31/03/2023,EnGRC, Design Guidelines document to be shared with the developers,Tejas,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,03/04/2023,Closed,,
48,31/03/2023,EnGRC,"To check all the font size and the colors from the design
document and change wherever required.",Pankaj,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,,On Going,,
49,31/03/2023,EnGRC, To check with Mohan on the color scheme is not hard coded.,Deven,EnGRC-Status Call-MOM-31 Mar 2023 v1.0,03/04/2023,Closed,,
50,05/04/2023,EnGRC,Prepare a list of all Microservices and components in one single document,Deven,EnGRC-Weekly Call-MOM-5 Apr 2023 v1.0,,Open,,
51,05/04/2023,EnGRC,Add  a lead to each Microservice and any developer who has the expertise in that particular Microservice – add it to document in point 1 as an appendix ,Ruth,EnGRC-Weekly Call-MOM-5 Apr 2023 v1.0,,Open,,
52,05/04/2023,EnGRC,Add a bug for the tree structure in Attribute tab,Tejas,EnGRC-Weekly Call-MOM-5 Apr 2023 v1.0,05/04/2023,Closed,,
53,05/04/2023,EnGRC,Add a backlog item for Company set up for the checkbox in Dashboard.,Tejas,EnGRC-Weekly Call-MOM-5 Apr 2023 v1.0,05/04/2023,Closed,,
54,05/04/2023,EnGRC,Add Testers in the KT calls,Ruth,EnGRC-Weekly Call-MOM-5 Apr 2023 v1.0,,Open,,
55,05/04/2023,EnGRC,"Add missing audit trail Microservice and  Data Mart into the Architecture documents (HLD, LLD)",Deven,EnGRC-Weekly Call-MOM-5 Apr 2023 v1.0,,Open,,
